id,discipline,department,speciality_id
1,Алгебра,ФН11,02.03.01_22
2,Аналитическая геометрия,ФН11,02.03.01_22
3,Иностранный язык,Л2,02.03.01_22
4,Информатика,ИУ6,02.03.01_22
5,История России,СГН1,02.03.01_22
6,Физическая культура и спорт,ФВ,02.03.01_22
7,Дискретная математика и математическая логика,ФН11,02.03.01_22
8,Физика,ФН4,02.03.01_22
9,Дифференциальные уравнения,ФН11,02.03.01_22
10,"Кратные и криволинейные интегралы, ряды",ФН11,02.03.01_22
11,Теоретическая механика,ФН3,02.03.01_22
12,Основы программирования на С++,ФН11,02.03.01_22
13,Политология,СГН3,02.03.01_22
14,Теория вероятностей и математическая статистика,ФН11,02.03.01_22
15,Уравнения математической физики,ФН11,02.03.01_22
16,Функциональный анализ и интегральные уравнения,ФН11,02.03.01_22
17,Компьютерная геометрия,ФН11,02.03.01_22
18,Теория автоматов и алгоритмические языки,ФН11,02.03.01_22
19,Численные методы,ФН11,02.03.01_22
20,Социология,СГН2,02.03.01_22
21,Геометрическое моделирование,ФН11,02.03.01_22
22,Философия,СГН4,02.03.01_22
23,Механика сплошной среды,ФН11,02.03.01_22
24,Теория случайных процессов,ФН11,02.03.01_22
25,Безопасность жизнедеятельности,Э9,02.03.01_22
26,Экономика часть 1,ИБМ2,02.03.01_22
27,Русский язык и культура речи,Л1,02.03.01_22
28,Экономика часть 2,ИБМ3,02.03.01_22
29,Правоведение,ЮР,02.03.01_22
30,Математический анализ,ФН11,02.03.01_22
31,Аэрокосмические технологии,ФН11,02.03.01_22
32,Дифференциальная геометрия и основы тензорного исчисления,ФН11,02.03.01_22
33,Теория функций комплексного переменного и операционное исчисление,ФН11,02.03.01_22
34,Операционные системы,ФН11,02.03.01_22
35,Методы оптимизации и вариационное исчисление,ФН11,02.03.01_22
36,Основы сеточных методов,ФН11,02.03.01_22
37,Основы метода конечных элементов,ФН11,02.03.01_22
38,Компьютерное и статистическое моделирование,ФН11,02.03.01_22
39,Базы данных,ФН11,02.03.01_22
40,Теория игр и исследование операций,ФН11,02.03.01_22
41,Прикладное программное обеспечение,ФН11,02.03.01_22
42,Основы математической теории надежности,ФН11,02.03.01_22
43,Математическое моделирование,ФН11,02.03.01_22
44,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,02.03.01_22
45,ДВ №2 (основная) : Прикладные задачи аэрокосмических технологий,ФН11,02.03.01_22
46,ДВ №2: Аэрокосмические системы,ФН11,02.03.01_22
47,ДВ №3 (основная) : Оптимальное управление,ФН11,02.03.01_22
48,ДВ №3: Теория информационных процессов и систем,ФН11,02.03.01_22
49,ДВ №4 (основная) : Обратные задачи математической физики,ФН11,02.03.01_22
50,ДВ №4: Теория принятия решений,ФН11,02.03.01_22
51,Проектно-технологическая практика,ФН11,02.03.01_22
52,Технологическая практика,ФН11,02.03.01_22
53,Ознакомительная практика,ФН11,02.03.01_22
54,Научно-исследовательская работа,ФН11,02.03.01_22
55,Преддипломная практика,ФН11,02.03.01_22
56,Подготовка и защита ВКР,ФН11,02.03.01_22
57,Иностранный язык,Л2,09.03.03_04
58,История России,СГН1,09.03.03_04
59,Общая биология,БМТ1,09.03.03_04
60,Алгоритмизация и программирование,ИУ6,09.03.03_04
61,Аналитическая геометрия,ФН1,09.03.03_04
62,Математические основы информатики Часть 1: математическая логика и теория алгоритмов,ИУ6,09.03.03_04
63,Математический анализ,ФН1,09.03.03_04
64,Начертательная геометрия,РК1,09.03.03_04
65,Физическая культура и спорт,ФВ,09.03.03_04
66,Химия,ФН5,09.03.03_04
67,Инженерная графика,РК1,09.03.03_04
68,Интегралы и дифференциальные уравнения,ФН1,09.03.03_04
69,Линейная алгебра и функции нескольких переменных,ФН1,09.03.03_04
70,Физика,ФН4,09.03.03_04
71,Биохимия,БМТ1,09.03.03_04
72,Операционные системы реального времени,ИУ6,09.03.03_04
73,Правоведение,ЮР,09.03.03_04
74,Теория вероятностей и математическая статистика,БМТ1,09.03.03_04
75,Электротехника,БМТ1,09.03.03_04
76,Основы патологии,БМТ1,09.03.03_04
77,Базы данных,ИУ6,09.03.03_04
78,Биофизика,БМТ2,09.03.03_04
79,Дискретная математика в биомедицинских системах,ИУ6,09.03.03_04
80,Имитационное программирование,ИУ6,09.03.03_04
81,Медицинские информационные системы,ИУ6,09.03.03_04
82,Политология,СГН3,09.03.03_04
83,Электроника,БМТ1,09.03.03_04
84,"Метрология, стандартизация и технические измерения",БМТ1,09.03.03_04
85,Философия,СГН4,09.03.03_04
86,Биомеханика,БМТ2,09.03.03_04
87,Основы взаимодействия физических полей с биообъектами,БМТ1,09.03.03_04
88,Разработка программных Интернет-приложений,ИУ6,09.03.03_04
89,Экология,Э9,09.03.03_04
90,Биофизические основы живых систем,БМТ2,09.03.03_04
91,Вычислительная математика,ФН12,09.03.03_04
92,Основы моделирования биотехнических систем,БМТ2,09.03.03_04
93,Математические основы информатики Часть 2: Алгоритмическая теория информации в биомедицинских системах,ИУ6,09.03.03_04
94,Методы обработки биомедицинских сигналов,БМТ2,09.03.03_04
95,Основы теории управления,ИУ6,09.03.03_04
